cm Top_i  (cm),age Top_i_(yr BP),char Count_i  (#),char Vol_i  (cm3),char Con_i        (# cm-3),char Acc_i        (# cm-2 yr-1),charBkg         (# cm-2 yr-1),char Peak       (# cm-2 yr-1),thresh          1             (# cm-2 yr-1),thresh          2             (# cm-2 yr-1),thresh          3             (# cm-2 yr-1),thresh FinalPos                 (# cm-2 yr-1),thresh FinalNeg                 (# cm-2 yr-1),SNI    (index)         ,thresh GOF         (p-val),peaks         1           ,peaks         2           ,peaks         3           ,peaks         Final    ,peaks Insig.,peak           Mag              (# cm-2 peak-1),smPeak Frequ       (peaks 1ka-1),smFRIs       (yr*fire-1),nFRIs       (#),mFRI       (yr fire-1),mFRI_uCI      (yr fire-1),mFRI_lCI     (yr fire-1),WBLb      (yr),WBLb_uCI      (yr),WBLb_lCI     (yr fire-1),WBLc     (unitless),WBLc_uCI     (unitless),WBLc_lCI     (unitless)
309.69,5593,0,1,0,0.0001,0.0005,-0.0004,0.0001,0.0003,0.0005,0.0003,-0.0011,5.07,0.68,0,0,0,0,0,0,4.12,246,,,,,,,,,,
310.69,5633,0,1,0.05,0.0012,0.0006,0.0006,0.0002,0.0004,0.0007,0.0004,-0.0012,4.85,0.17,1,1,0,1,0,0.0065,4.26,232,,,,,,,,,,
311.68,5673,0,1,0,0,0.0007,-0.0007,0.0002,0.0005,0.0008,0.0005,-0.0013,4.62,0.74,0,0,0,0,0,0,4.39,221,,,,,,,,,,
312.65,5713,0,1,0,0,0.0008,-0.0008,0.0003,0.0005,0.0009,0.0005,-0.0014,4.4,0.24,0,0,0,0,0,0,4.5,210,,,,,,,,,,
313.63,5753,0,1,0.02,0.0006,0.001,-0.0004,0.0003,0.0006,0.0009,0.0006,-0.0015,4.22,0.4,0,0,0,0,0,0,4.61,201,,,,,,,,,,
314.62,5793,0,1,0.1,0.0024,0.0011,0.0014,0.0003,0.0006,0.001,0.0006,-0.0015,4.07,0.28,0,1,1,1,0,0.0295,4.7,194,,,,,,,,,,
315.6,5833,0,1,0.06,0.0016,0.0011,0.0004,0.0003,0.0007,0.001,0.0007,-0.0016,3.98,0.61,0,0,0,0,0,0,4.79,186,,,,,,,,,,
316.58,5873,0,1,0.07,0.0017,0.0012,0.0005,0.0003,0.0006,0.001,0.0006,-0.0017,3.96,0.16,0,0,0,0,0,0,4.89,182,,,,,,,,,,
317.56,5913,0,1,0.1,0.0024,0.0013,0.0012,0.0003,0.0006,0.001,0.0006,-0.0017,4.02,0.66,0,0,1,0,0,0,4.98,177,,,,,,,,,,
318.53,5953,0,1,0.09,0.0021,0.0013,0.0008,0.0002,0.0006,0.001,0.0006,-0.0018,4.15,0.15,1,1,0,1,0,0.032,5.08,175,,,,,,,,,,
