cm Top_i  (cm),age Top_i     (yr BP),char Count_i  (#),char Vol_i  (cm3),char Con_i        (# cm-3),char Acc_i        (# cm-2 yr-1),charBkg         (# cm-2 yr-1),char Peak       (# cm-2 yr-1),thresh          1             (# cm-2 yr-1),thresh          2             (# cm-2 yr-1),thresh          3             (# cm-2 yr-1),thresh FinalPos                 (# cm-2 yr-1),thresh FinalNeg                 (# cm-2 yr-1),SNI    (index)         ,thresh GOF         (p-val),peaks         1           ,peaks         2           ,peaks         3           ,peaks         Final    ,peaks Insig.,peak           Mag              (# cm-2 peak-1),smPeak Frequ       (peaks 1ka-1),smFRIs       (yr*fire-1),nFRIs       (#),mFRI       (yr fire-1),mFRI_uCI      (yr fire-1),mFRI_lCI     (yr fire-1),WBLb      (yr),WBLb_uCI      (yr),WBLb_lCI     (yr fire-1),WBLc     (unitless),WBLc_uCI     (unitless),WBLc_lCI     (unitless)
309.69,5593,0,1,0.1,0.0025,0.0126,-0.0101,0.0009,0.0054,0.0105,0.0054,-0.0253,4.38,0.34,0,0,0,0,0,0,16.02,302,,,,,,,,,,
310.69,5633,2,1,2,0.0493,0.0157,0.0336,0.0014,0.0062,0.0116,0.0062,-0.0265,4.32,0.63,1,1,1,1,0,1.0973,16.01,302,,,,,,,,,,
311.68,5673,0,1,0.05,0.0012,0.0186,-0.0174,0.0019,0.007,0.0127,0.007,-0.0277,4.24,0.3,0,0,0,0,0,0,16.01,302,,,,,,,,,,
312.65,5713,0,1,0,0,0.0211,-0.0211,0.0024,0.0078,0.0138,0.0078,-0.029,4.16,0.15,0,0,0,0,0,0,16,302,,,,,,,,,,
313.63,5753,1,1,0.8,0.0197,0.0232,-0.0035,0.0026,0.0083,0.0146,0.0083,-0.0303,4.12,0.17,0,0,0,0,0,0,16,302,,,,,,,,,,
314.62,5793,2,1,1.73,0.0421,0.0249,0.0172,0.0026,0.0085,0.0151,0.0085,-0.0316,4.12,0.23,0,1,1,1,0,0.3465,15.99,302,,,,,,,,,,
315.6,5833,1,1,1.38,0.0337,0.0262,0.0075,0.0026,0.0086,0.0154,0.0086,-0.0328,4.16,0.71,0,0,0,0,0,0,15.98,302,,,,,,,,,,
316.58,5873,2,1,2.1,0.0514,0.0269,0.0245,0.0025,0.0088,0.0158,0.0088,-0.034,4.26,0.2,0,0,0,0,0,0,15.97,302,,,,,,,,,,
317.56,5913,3,1,2.55,0.0624,0.0273,0.0351,0.0026,0.0091,0.0163,0.0091,-0.0352,4.4,0.34,0,0,1,0,0,0,15.95,302,,,,,,,,,,
318.53,5953,2,1,1.63,0.0401,0.0275,0.0125,0.0026,0.0093,0.0168,0.0093,-0.0363,4.59,0.63,1,1,0,1,0,1.888,15.94,302,,,,,,,,,,
