Depth,Age_calBP,SmplCount,SmplArea
309.57,5588,0,0
310.64,5631,0,0
311.7,5674,2,0.0467
312.77,5718,0,0
313.83,5761,0,0
314.89,5804,1,0.0283
315.96,5848,2,0.1262
317.02,5891,1,0.0263
318.09,5935,3,0.1035
319.15,5978,2,0.0936
320.21,6021,1,0.0723
321.28,6065,0,0
322.34,6108,0,0
323.4,6150,3,0.1687
324.47,6194,0,0
325.53,6236,0,0
326.6,6279,0,0
327.66,6321,3,0.1764
328.72,6362,0,0
329.79,6404,0,0
330.85,6445,3,0.0527
331.91,6486,0,0
332.98,6526,0,0
334.04,6566,0,0
335.11,6606,2,0.1263
336.17,6645,2,0.188
337.23,6683,1,0.0491
338.3,6721,0,0
339.36,6758,3,0.1664
340.43,6795,0,0
341.49,6831,1,0.1727
342.55,6866,0,0
343.62,6901,2,0.0475
344.68,6934,1,0.0532
345.74,6967,4,0.1141
346.81,6999,3,0.112
347.87,7031,3,0.1271
348.94,7061,0,0
350,7091,0,0
351.06,7119,3,0.1742
352.13,7147,2,0.1964
353.19,7174,0,0
354.26,7200,2,0.1133
355.32,7224,8,0.2962
356.38,7248,2,0.0926
357.45,7271,0,0
358.51,7292,0,0
359.57,7313,1,0.148
360.64,7333,0,0
361.7,7352,0,0
362.77,7370,0,0
363.83,7388,4,0.1921
364.89,7405,4,0.1278
365.96,7421,4,0.0674
367.02,7437,0,0
368.09,7453,0,0
369.15,7468,6,0.203
370.21,7482,2,0.0343
371.28,7497,0,0
372.34,7511,1,0.0101
373.4,7525,1,0.0241
374.47,7538,0,0
375.53,7552,1,0.026
376.6,7565,4,0.0812
377.66,7579,1,0.0179
378.72,7592,0,0
379.79,7606,0,0
380.85,7620,1,0.0177
381.91,7634,2,0.0558
382.98,7648,2,0.092
384.04,7663,0,0
385.11,7678,0,0
386.17,7693,0,0
387.23,7709,1,0.0128
388.3,7726,0,0
389.36,7743,5,0.1214
390.43,7760,3,0.0377
391.49,7779,1,0.0207
392.55,7798,1,0.0542
393.62,7817,3,0.1536
394.68,7838,1,0.0327
395.74,7858,3,0.0378
396.81,7880,4,0.111
397.87,7902,1,0.0632
398.22,7910,2,0.0636
398.57,7917,2,0.1176
398.92,7925,0,0
399.27,7932,0,0
399.62,7940,0,0
399.97,7948,0,0
400.32,7955,0,0
400.67,7963,0,0
401.02,7971,0,0
402.04,7994,0,0
403.06,8018,1,0.0161
404.08,8042,1,0.0329
405.1,8066,2,0.0865
406.12,8091,0,0
407.14,8116,0,0
408.16,8141,1,0.0297
409.18,8167,5,0.3562
410.2,8193,2,0.1842
411.22,8219,0,0
412.24,8245,2,0.161
413.27,8272,2,0.0717
414.29,8299,1,0.1081
415.31,8326,6,0.2364
416.33,8353,11,0.6425
417.35,8380,5,0.3388
418.37,8407,7,0.1469
419.39,8435,8,0.3109
420.41,8462,0,0
421.43,8490,3,0.0728
422.45,8517,1,0.008
423.47,8544,8,0.4495
424.49,8572,0,0
425.51,8599,1,0.0293
426.53,8626,2,0.1048
427.55,8653,3,0.1364
428.57,8681,0,0
429.59,8707,2,0.0731
430.61,8734,2,0.0529
431.63,8761,2,0.1797
432.65,8787,3,0.0857
433.67,8813,7,0.303
434.69,8839,5,0.1484
435.71,8864,4,0.1898
436.73,8890,1,0.0236
437.76,8915,2,0.0705
438.78,8939,2,0.1447
439.8,8964,3,0.1676
440.82,8987,1,0.0539
441.84,9011,1,0.0553
442.86,9034,5,0.3211
443.88,9056,4,0.1041
444.9,9079,2,0.0968
445.92,9100,1,0.046
446.94,9121,1,0.0342
447.96,9142,1,0.3663
448.98,9162,1,0.0603
450,9181,2,0.0487
451.02,9200,3,0.1542
452.04,9218,2,0.0602
453.06,9236,0,0
